进口原产国（地）出口最终目的国（地）,日期,单位,进出口额,出口额,进口额,进出口累计比去年同期±％,出口累计比去年同期±％,进口累计比去年同期±％
总值,2021-1,万元人民币,302570019,172714367,129855652,17.3,16.6,18.3
总值,2021-2,万元人民币,241612731,133170128,108442603,32.2,50.1,14.5
总值,2021-3,万元人民币,302275610,155536818,146738792,29.2,38.7,19.3
总值,2021-4,万元人民币,314918027,171284222,143633805,28.5,33.8,22.7
总值,2021-5,万元人民币,313608574,171604238,142004336,28.2,30.1,25.9
总值,2021-6,万元人民币,329154552,181214666,147939886,27.1,28.1,25.9
总值,2021-7,万元人民币,326573553,181420420,145153132,24.5,24.5,24.4
总值,2021-8,万元人民币,342934219,190282430,152651789,23.7,23.2,24.4
总值,2021-9,万元人民币,353287688,198303203,154984486,22.7,22.7,22.6
总值,2021-10,万元人民币,333568858,194081882,139486976,22.2,22.5,21.8
总值,2020-1,万元人民币,257913021,148109154,109803868,-5.9,-1.5,-11.3
总值,2020-2,万元人民币,154019497,55615459,98404037,-9.7,-16.1,-2.5
总值,2020-3,万元人民币,244562971,129264346,115298624,-6.4,-11.4,-0.7
总值,2020-4,万元人民币,249599410,140704880,108894530,-4.9,-6.4,-3.3
总值,2020-5,万元人民币,246963032,145618809,101344223,-4.9,-4.7,-5.2
总值,2020-6,万元人民币,269732955,151313557,118419398,-3.2,-3.0,-3.3
总值,2020-7,万元人民币,292703980,168463662,124240318,-1.7,-0.9,-2.6
总值,2020-8,万元人民币,288387636,165023180,123364456,-0.6,0.8,-2.3
总值,2020-9,万元人民币,306626531,166197214,140429317,0.7,1.8,-0.6
总值,2020-10,万元人民币,283696531,161935793,121760737,1.1,2.4,-0.5
总值,2020-11,万元人民币,309202779,179948252,129254527,1.8,3.7,-0.5
总值,2020-12,万元人民币,320051965,185866526,134185439,1.9,4.0,-0.7
总值,2019-1,万元人民币,273041024,150079102,122961921,8.7,13.9,2.9
总值,2019-2,万元人民币,181081394,92251692,88829702,0.7,0.1,1.4
总值,2019-3,万元人民币,246216171,134178210,112037962,3.7,6.7,0.3
总值,2019-4,万元人民币,250757110,130054904,120702206,4.3,5.7,2.9
总值,2019-5,万元人民币,259245504,143578873,115666631,4.1,6.1,1.8
总值,2019-6,万元人民币,256185052,145351596,110833456,3.9,6.1,1.4
总值,2019-7,万元人民币,274155406,152440023,121715383,4.2,6.7,1.3
总值,2019-8,万元人民币,271742025,147849571,123892454,3.6,6.1,0.8
总值,2019-9,万元人民币,278255240,152884349,125370891,2.8,5.2,-0.1
总值,2019-10,万元人民币,270544645,150410387,120134259,2.4,4.9,-0.4
总值,2019-11,万元人民币,286131736,156494764,129636972,2.4,4.5,0.0
总值,2019-12,万元人民币,301597725,167411870,134185854,3.4,5.0,1.6
总值,2018-1,万元人民币,251298699,132441833,118856867,16.2,6.0,30.2
总值,2018-2,万元人民币,200112134,111302753,88809380,16.7,18.0,15.2
总值,2018-3,万元人民币,224527095,110774523,113752572,9.4,7.4,11.7
总值,2018-4,万元人民币,235569071,126797579,108771492,8.8,6.3,11.7
总值,2018-5,万元人民币,252601014,134125873,118475141,8.8,5.5,12.6
总值,2018-6,万元人民币,249264644,137680873,111583770,7.8,4.8,11.5
总值,2018-7,万元人民币,260279849,138987644,121292205,8.6,5.0,12.9
总值,2018-8,万元人民币,270905208,144433428,126471780,9.1,5.4,13.7
总值,2018-9,万元人民币,288511623,154920544,133591079,9.9,6.5,14.1
总值,2018-10,万元人民币,274167415,149071257,125096158,11.3,7.9,15.4
总值,2018-11,万元人民币,283442583,157008265,126434318,11.1,8.2,14.6
总值,2018-12,万元人民币,267486774,153492950,113993824,9.7,7.1,12.9
总值,2017-1,万元人民币,217682763,126566251,91116512,19.6,15.9,25.2
总值,2017-2,万元人民币,171299111,82631579,88667532,20.6,11.0,34.2
总值,2017-3,万元人民币,231412998,123920768,107492230,21.8,14.8,31.1
总值,2017-4,万元人民币,222037489,124129074,97908415,20.3,14.6,27.8
