年度,进出口,出口,进口,贸易差额,比去年同期±％,比去年同期±％,比去年同期±％
年度,进出口,出口,进口,贸易差额,进出口,出口,进口
1981,735,368,368,0,-,-,-
1982,771,414,358,56,4.9,12.5,-2.7
1983,860,438,422,17,11.5,5.8,17.9
1984,1201,581,620,-40,39.7,32.6,46.9
1985,2067,809,1258,-449,72.1,39.2,102.9
1986,2580,1082,1498,-416,24.8,33.7,19.1
1987,3084,1470,1614,-144,19.5,35.9,7.7
1988,3822,1767,2055,-288,23.9,20.2,27.3
1989,4156,1956,2200,-244,8.7,10.7,7.1
1990,5560,2986,2574,412,33.8,52.7,17.0
1991,7226,3827,3399,428,30.0,28.2,32.1
1992,9120,4676,4443,233,26.2,22.2,30.7
1993,11271,5285,5986,-701,23.6,13.0,34.7
1994,20382,10422,9960,462,80.8,97.2,66.4
1995,23500,12452,11048,1404,15.3,19.5,10.9
1996,24134,12576,11557,1019,2.7,1.0,4.6
1997,26967,15161,11807,3354,11.7,20.6,2.2
1998,26850,15224,11626,3597,-0.4,0.4,-1.5
1999,29896,16160,13736,2423,11.3,6.1,18.1
2000,39273,20634,18639,1996,31.4,27.7,35.7
2001,42184,22024,20159,1865,7.4,6.7,8.2
2002,51378,26948,24430,2518,21.8,22.4,21.2
2003,70483,36288,34196,2092,37.2,34.7,40.0
2004,95539,49103,46436,2668,35.5,35.3,35.8
2005,116922,62648,54274,8374,22.4,27.6,16.9
2006,140975,77598,63377,14221,20.6,23.9,16.8
2007,166924,93627,73297,20330,18.4,20.7,15.7
2008,179921,100395,79527,20868,7.8,7.2,8.5
2009,150648,82030,68618,13411,-16.3,-18.3,-13.7
2010,201722,107023,94700,12323,33.9,30.5,38.0
2011,236402,123241,113161,10079,17.2,15.2,19.5
2012,244160,129359,114801,14558,3.3,5.0,1.4
2013,258169,137131,121037,16094,5.7,6.0,5.4
2014,264242,143884,120358,23526,2.3,4.9,-0.6
2015,245503,141167,104336,36831,-7.0,-1.9,-13.2
2016,243386,138419,104967,33452,-0.9,-1.9,0.6
2017,278099,153309,124790,28520,14.3,10.8,18.9
2018,305010,164129,140881,23247,9.7,7.1,12.9
2019,315627,172374,143254,29120,3.5,5.0,1.7
2020,322215,179279,142936,36342,2.1,4.0,-0.2
2021,390516,216908,173608,43300,21.2,21.0,21.5
