Country,2015exports,2015imports,dist,GDP,inEU,inCommonwealth,log(GDP/distance),log( (GDP_i * GDP_j)/distance),log(exports)
Andorra,4,0,907.9676098840649,3302.0,False,False,0.6662083984078742,7.065648994420338,0.6989700043360189
United Arab Emirates,6085,2070,5190.728739419729,503913.0,False,False,1.991577944056284,8.492069510268976,3.7843319480221482
Afghanistan,9,0,4960.43336282064,20136.0,False,False,0.7040923853014005,7.11339586434582,1.0
Anguilla,0,0,6123.107003138531,0.0,False,False,0.0,-inf,0.0
Albania,1,0,1677.6067571638598,18256.0,False,False,1.0748957196703528,7.541657741950586,0.3010299956639812
Armenia,4,1,3367.96272538372,17693.0,False,False,0.7961109431572437,7.225376482784308,0.6989700043360189
Angola,432,671,6233.0637980499705,124794.0,False,False,1.3226594368674351,7.806434414813519,2.6364878963533656
Argentina,222,570,9640.74681736484,630698.0,False,False,1.8222991040350633,8.32065305773408,2.3483048630481607
American Samoa,0,0,14769.1435861325,0.0,False,False,0.0,-inf,0.0
Austria,1408,2903,716.3407220715849,468046.0,False,False,2.8158330738505652,9.320111179304444,3.1489109931093564
Australia,3738,1722,13024.7365104575,1724787.0,False,True,2.1252337796419596,8.62690880547286,3.5727554651542195
Aruba,18,0,7070.642935308921,3499.0,False,False,0.17460141008042543,6.19942731800022,1.2787536009528289
Azerbaijan,620,75,3461.7687453376698,70066.0,False,False,1.3271533346142834,7.811151553795366,2.79309160017658
Barbados,3,0,6341.259246947061,5788.0,False,True,0.2816587700027506,6.465295295438747,0.6020599913279624
Bangladesh,84,1911,7419.706730635659,460751.0,False,True,1.800017496754764,8.29802182827648,1.9294189257142926
Belgium,11500,20999,79.46172233476071,589491.0,False,False,3.8703777424902177,10.37526148637988,4.060735603449318
Burkina Faso,0,0,3898.4529876804204,18268.0,False,False,0.7548039027812968,7.175740983215619,0.0
Bulgaria,229,299,1762.3434651080102,85008.0,False,False,1.6922807640664494,8.188311527713052,2.361727836017593
Bahrain,202,202,4958.642523917721,43544.0,False,False,0.9904026000354086,7.448507802453519,2.307496037913213
Burundi,0,0,6505.38182096349,3686.0,False,False,0.19496028104222587,6.258224820766371,0.0
Benin,55,0,4237.91071487198,17547.0,False,False,0.7110039816555741,7.1219933550268175,1.7481880270062005
Bermuda,10,27,5017.772944226721,0.0,False,False,0.0,-inf,1.0413926851582251
Brunei,82,65,10871.113410047099,18464.0,False,True,0.4311137451154131,6.734994046659899,1.919078092376074
Bolivia,9,10,8781.121986257329,43431.0,False,False,0.7742213336488882,7.199192100373913,1.0
Brazil,2138,1881,6636.49522339104,1894708.0,False,False,2.4571220255211874,8.960545784304342,3.330210784571528
Bahamas,15,2,6302.22718787053,12693.0,False,True,0.4791504372721025,6.809012506740299,1.2041199826559248
Bhutan,0,0,7336.706960146429,2707.0,False,False,0.13639286004604845,6.071929364382393,0.0
Botswana,8,22,7916.2731146428505,18005.0,False,True,0.5151355588212038,6.8618146381924685,0.9542425094393249
Belarus,36,14,1452.0286764009697,79704.0,False,False,1.7473455935142865,8.24444720550806,1.568201724066995
Belize,2,78,7723.10319292285,2676.0,False,True,0.12920405010015573,6.044636552969008,0.47712125471966244
Canada,3883,5935,2848.99453018303,2200352.0,False,True,2.8883625035210905,9.392742828561863,3.589279221235967
Central African Republic,1,0,4843.40447756018,2488.0,False,False,0.1800364415008061,6.215641918704776,0.3010299956639812
Switzerland,9736,8411,578.962208589678,807418.0,False,False,3.144759511638154,9.649390492306166,3.988425170006303
Ivory Coast,86,139,4358.33992993373,68630.0,False,False,1.2239323858806481,7.702135180354919,1.9395192526186185
Cook Islands,0,0,15306.049340688101,0.0,False,False,0.0,-inf,0.0
Chile,378,555,9742.92528702007,310866.0,False,False,1.5172862361102855,8.008826134445291,2.578639209968072
Cameroon,12,103,4361.856155654021,44212.0,False,True,1.0467312429731201,7.510811103555179,1.1139433523068367
China,12902,35564,5292.874506705361,18321197.0,False,False,3.539387694198258,10.04420452908433,4.110690697273754
Colombia,327,616,7172.58619565984,342919.0,False,False,1.6885058973959581,8.184458054177934,2.515873843711679
Costa Rica,53,187,8089.45214928037,68489.0,False,False,0.9761874734603759,7.432643996373643,1.7323937598229686
Cuba,19,23,6650.27112551567,0.0,False,False,0.0,-inf,1.3010299956639813
Cape Verde,1,0,3996.7390707040795,2053.0,False,False,0.18003084761184043,6.21562543495205,0.3010299956639812
Cyprus,258,129,3049.12077690289,26705.0,False,True,0.9893724942659872,7.4473602366338945,2.413299764081252
